"user_email_hash","model_name","phrase_id","speaker_id","rating"
"1bff70e1","Glow-030spk","p057","VP427","2"
"1bff70e1","Tacotron2-180spk","p034","MS052","2"
"1bff70e1","Tacotron2-180spk","p027","IS038","4"
"1bff70e1","GT-000000","p049","VP131","5"
"1bff70e1","Glow-180spk","p045","VP131","2"
"1bff70e1","Glow-180spk","p024","IS038","3"
"1bff70e1","Glow-060spk","p044","VP131","2"
"1bff70e1","Glow-030spk","p015","IS031","2"
"1bff70e1","Tacotron2-030spk","p039","MS052","3"
"1bff70e1","Tacotron2-180spk","p013","IS031","3"
"1bff70e1","Glow-060spk","p009","AS009","3"
"1bff70e1","Tacotron2-060spk","p047","VP131","2"
"1bff70e1","Glow-030spk","p043","VP131","1"
"1bff70e1","Tacotron2-060spk","p054","VP427","3"
"1bff70e1","Tacotron2-030spk","p046","VP131","3"
"1bff70e1","GT-000000","p014","IS031","5"
"1bff70e1","Glow-030spk","p008","AS009","2"
"09cf35b7","Tacotron2-030spk","p052","VP427","2"
"09cf35b7","Glow-180spk","p016","IS031","1"
"6270ff5b","Tacotron2-180spk","p027","IS038","4"
"6270ff5b","GT-000000","p007","AS009","5"
"6270ff5b","Tacotron2-030spk","p025","IS038","3"
"6270ff5b","Tacotron2-030spk","p060","VP427","3"
"6270ff5b","Glow-030spk","p022","IS038","2"
"4ea2e432","Tacotron2-180spk","p049","VP131","2"
"4ea2e432","Tacotron2-060spk","p041","VP131","2"
"4ea2e432","Glow-030spk","p037","MS052","1"
"4ea2e432","GT-000000","p015","IS031","5"
"4ea2e432","Tacotron2-030spk","p054","VP427","4"
"4ea2e432","Glow-060spk","p038","MS052","1"
"4ea2e432","Glow-180spk","p025","IS038","4"
"4ea2e432","Tacotron2-060spk","p055","VP427","2"
"4ea2e432","Tacotron2-180spk","p035","MS052","2"
"4ea2e432","Glow-060spk","p052","VP427","1"
"4ea2e432","GT-000000","p001","AS009","5"
"4ea2e432","Tacotron2-030spk","p040","MS052","2"
"4ea2e432","GT-000000","p043","VP131","5"
"4ea2e432","Tacotron2-180spk","p028","IS038","4"
"4ea2e432","Tacotron2-030spk","p012","IS031","4"
"4ea2e432","Tacotron2-180spk","p007","AS009","5"
